name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
国府津海岸,17.5,2,35.277437,139.208485,KANAGAWA_SEISHO,,First/1419/2219,spot,,
小田原早川港,17,3,35.238776,139.148546,KANAGAWA_SEISHO,,,spot,,ort
柳島海岸,15.5,4,35.314777,139.379244,KANAGAWA_SEISHO,,Second/江ノ島/平塚新港・相模川河口,spot,,
江ノ浦港,17.5,5,35.192129,139.138614,KANAGAWA_SEISHO,,First/1419/2219,spot,,assistant
大磯港,16.5,6,35.306349,139.318424,KANAGAWA_SEISHO,,Second/江ノ島/国府津海岸,spot,,substitute
平塚新港・相模川河口,15.5,7,35.316167,139.367136,KANAGAWA_SEISHO,,Second/江ノ島/国府津海岸,spot,,assistant
腰越港,16,8,35.305793,139.493355,KANAGAWA_SEISHO,,Second/江ノ島/逗子海岸,spot,,ort
道満ファミリー釣り場,,18,35.4721827,139.3600606,KANAGAWA_SEISHO,,神奈川県厚木市三田,fish4,,
下へら釣り場,,19,35.431774,139.3735671,KANAGAWA_SEISHO,,神奈川県海老名市中新田,fish4,,
大島へら釣場,,20,35.5734377,139.31067,KANAGAWA_SEISHO,,神奈川県相模原市緑区大島,fish4,,
相模川弁天釣り場,,21,35.53988,139.3342919,KANAGAWA_SEISHO,,神奈川県相模原市中央区相模川,fish4,,
八菅ヘラ釣り場,,22,35.5099241,139.3282693,KANAGAWA_SEISHO,,神奈川県愛甲郡愛川町中津,fish4,,
柏ふれあい釣り堀,,33,35.46455,139.40846,KANAGAWA_SEISHO,,神奈川県海老名市国分北４丁目１０−１,fish4,,
山本園,,34,35.40153,139.2925,KANAGAWA_SEISHO,,神奈川県伊勢原市白根４２４,fish4,,
草柳園フィッシングセンター,,35,35.47557,139.44777,KANAGAWA_SEISHO,,神奈川県大和市上草柳１０２１,fish4,,
厚木へら鮒センター,,36,35.48684,139.36037,KANAGAWA_SEISHO,,神奈川県厚木市関口１１２２,fish4,,
釣って見つける ぼうけんの国 相模原上溝店,,37,35.55976,139.35501,KANAGAWA_SEISHO,,神奈川県相模原市中央区上溝４丁目９−１１,fish1,,
釣って見つけるぼうけんの国 湘南釣堀,,38,35.39466,139.381,KANAGAWA_SEISHO,,神奈川県高座郡寒川町倉見９３５−１,fish1,,
浮島つり園,17,1,35.521024,139.790173,KANAGAWA_YOKOHAMA,,First/1403/1314,spot,,
川崎新堤・東扇島西公園,15,2,35.486083,139.748776,KANAGAWA_YOKOHAMA,,First/1403/1314,spot,,assistant
水江町公園,17.5,3,35.503858,139.741143,KANAGAWA_YOKOHAMA,,,spot,,
大黒海づり施設,17.5,4,35.448989,139.694555,KANAGAWA_YOKOHAMA,,Second/本牧海釣り施設/川崎新堤・東扇島西公園,fish1,,
末広水際線プロムナード,16.5,5,35.480823,139.690902,KANAGAWA_YOKOHAMA,,Second/川崎新堤・東扇島西公園/山下公園,spot,,
横浜沖堤・第一新堤,17,6,35.442421,139.688281,KANAGAWA_YOKOHAMA,,,spot,,
本牧海釣り施設,17,7,35.428558,139.686769,KANAGAWA_YOKOHAMA,,First/1403/1407,fish1,,substitute
横浜沖堤・赤灯ハナレ,17,8,35.457314,139.676962,KANAGAWA_YOKOHAMA,,,spot,,
横浜沖堤・白灯テトラ堤,17,9,35.45159,139.673561,KANAGAWA_YOKOHAMA,,Second/山下公園/本牧海釣り施設,spot,,
横浜沖堤・旧白灯,16.5,10,35.453264,139.658463,KANAGAWA_YOKOHAMA,,Second/川崎新堤・東扇島西公園/山下公園,spot,,
横浜沖堤・旧赤灯,16,11,35.463309,139.655961,KANAGAWA_YOKOHAMA,,Second/川崎新堤・東扇島西公園/山下公園,spot,,
山下公園,16.5,12,35.447296,139.649344,KANAGAWA_YOKOHAMA,,First/1403/,spot,,representative
赤レンガ・象の鼻パーク,16.5,13,35.45172,139.644519,KANAGAWA_YOKOHAMA,,,spot,,
磯子海づり施設,16,14,35.403482,139.643472,KANAGAWA_YOKOHAMA,,First/1403/1407,fish1,,assistant
臨港・新港パーク,16,15,35.458659,139.639074,KANAGAWA_YOKOHAMA,,,spot,,
汽車道,16.5,16,35.452833,139.635248,KANAGAWA_YOKOHAMA,,Second/山下公園/磯子海づり施設,spot,,
根岸港,16,17,35.408238,139.631821,KANAGAWA_YOKOHAMA,,First/1403/1407,spot,,
杉田臨海緑地,17.5,18,35.385686,139.628272,KANAGAWA_YOKOHAMA,,First/1403/1407,spot,,
緑水園,,19,35.4350787,139.4352202,KANAGAWA_YOKOHAMA,,神奈川県横浜市戸塚区名瀬町１６０１,fish4,,
熊の池,,20,35.565155,139.4956613,KANAGAWA_YOKOHAMA,,神奈川県横浜市青葉区寺家町８４８,fish4,,
等々力緑地釣池,,21,35.58683,139.64891,KANAGAWA_YOKOHAMA,,神奈川県川崎市中原区等々力１−１,fish4,,
多摩川へら鮒センター,,22,35.61586,139.57613,KANAGAWA_YOKOHAMA,,神奈川県川崎市多摩区宿河原２丁目５−１５,fish4,,
ベリーパーク in FISH ON! 王禅寺,,23,35.58943,139.52458,KANAGAWA_YOKOHAMA,,神奈川県川崎市麻生区王禅寺１２２７−２,fish4,,
釣船茶屋 ざうお 横浜綱島店,,24,35.52982,139.64748,KANAGAWA_YOKOHAMA,,神奈川県横浜市鶴見区駒岡２丁目１４−１,fish1,,
横浜釣り堀王国,,25,35.38149,139.6395,KANAGAWA_YOKOHAMA,,神奈川県横浜市金沢区鳥浜町３−５,fish1,,
畑宿清流マス釣場,17,L06,35.2086,139.061835,KANAGAWA_SEISHO,,神奈川県足柄下郡箱根町畑宿４７１,fish3,,
はこね宮城野国際ます釣場,18,L07,35.254793,139.048567,KANAGAWA_SEISHO,,神奈川県足柄下郡箱根町宮城野９２２,fish3,,
白糸マス釣りセンター,18,L08,35.20171,139.130513,KANAGAWA_SEISHO,,神奈川県小田原市根府川４８３,fish3,,
狩川渓谷ます釣り場,17.5,L09,35.323485,139.052826,KANAGAWA_SEISHO,,神奈川県南足柄市矢倉沢１６８２,fish3,,
金太郎自然園,18,L10,35.331946,139.051522,KANAGAWA_SEISHO,,神奈川県南足柄市矢倉沢１３４４,fish3,,
開成水辺フォレストスプリングス,17.5,L11,35.337893,139.13171,KANAGAWA_SEISHO,,神奈川県足柄上郡開成町吉田島３３３８,fish3,,
寄清流マス釣り場,18,L12,35.38351,139.130825,KANAGAWA_SEISHO,,神奈川県足柄上郡松田町寄５５７３,fish3,,ort
山北町立西丹沢溪流釣場,18,L13,35.470378,139.062342,KANAGAWA_SEISHO,,神奈川県足柄上郡山北町中川８７４−３,fish3,,
うらたんざわ渓流釣場,17.5,L14,35.520351,139.098527,KANAGAWA_SEISHO,,神奈川県相模原市緑区青根３７６９,fish3,,
神之川キャンプマス釣場,18,L15,35.527918,139.107157,KANAGAWA_SEISHO,,神奈川県相模原市緑区青根３６８５,fish3,,
青根遊漁場,18,L16,35.541456,139.122654,KANAGAWA_SEISHO,,神奈川県相模原市緑区青根２７１３,fish3,,
大山フィッシングセンター,18,L17,35.412353,139.260048,KANAGAWA_SEISHO,,神奈川県伊勢原市子易９４４,fish3,,
日向渓谷マス釣り場,18,L18,35.437955,139.265412,KANAGAWA_SEISHO,,神奈川県伊勢原市日向１７７０,fish3,,
伊勢原鱒釣場,18,L19,35.43577,139.27811,KANAGAWA_SEISHO,,神奈川県伊勢原市日向１５８２,fish3,,
みのげマス釣りセンター,18,L20,35.417184,139.228891,KANAGAWA_SEISHO,,神奈川県秦野市蓑毛７０６,fish3,,ort
フリックフィッシングフィールド,,L21,35.447053,139.212916,KANAGAWA_SEISHO,,神奈川県秦野市丹沢寺山７５,fish3,,
谷太郎川ます釣場,18,L22,35.464838,139.268459,KANAGAWA_SEISHO,,神奈川県愛甲郡清川村煤ヶ谷５０１２,fish3,,
リヴァスポット早戸,18,L23,35.520889,139.195063,KANAGAWA_SEISHO,,神奈川県相模原市緑区鳥屋3627,fish3,,ort
FF中津川,16.5,L24,35.525563,139.283131,KANAGAWA_SEISHO,,神奈川県愛甲郡愛川町田代２４１１−１,fish3,,
清川リバーランド,18,L01,35.479072,139.269967,KANAGAWA_SEISHO,,神奈川県愛甲郡清川村煤ヶ谷２４５０,fish3,,
清川つくしフィッシングセンター,18,39,35.48558,139.273985,KANAGAWA_SEISHO,,神奈川県愛甲郡清川村煤ヶ谷３５６８,fish4,,
丹沢湖,13,L02,35.41647,139.042368,KANAGAWA_SEISHO,,,fish6,,special
芦ノ湖,13,L06,35.212528,139.007692,KANAGAWA_SEISHO,,,fish6,,special
相模湖,14,L03,35.612874,139.180598,KANAGAWA_SEISHO,,,fish6,,special
宮ヶ瀬湖,13,L04,35.524684,139.227762,KANAGAWA_SEISHO,,,fish6,,special
津久井湖,13,L05,35.595899,139.252653,KANAGAWA_SEISHO,,,fish6,,special
